target,baseline,n_valid,n_classes,majority_class,majority_prob,logloss,accuracy,macro_f1
Q1,global_prior,450,2,0,0.5044444444444445,0.6931076738668435,0.5044444444444445,0.3353028064992615
Q1,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.6403710144364037,0.6066666666666667,0.6026936026936027
Q2,global_prior,450,2,1,0.5622222222222222,0.685383860076707,0.5622222222222222,0.35988620199146515
Q2,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.646410073385816,0.6088888888888889,0.5789473684210527
Q3,global_prior,450,2,1,0.6,0.6730116670092563,0.6,0.375
Q3,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.6430754868186987,0.6244444444444445,0.5593118194829954
S1,global_prior,450,2,1,0.6822222222222222,0.6251830480167294,0.6822222222222222,0.40554821664464996
S1,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.5558133261793432,0.6955555555555556,0.5580613481100223
S2,global_prior,450,2,1,0.6511111111111111,0.6467561030272874,0.6511111111111111,0.3943472409152086
S2,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.5558290355964369,0.72,0.6361746361746362
S3,global_prior,450,2,1,0.6622222222222223,0.6395504757704887,0.6622222222222223,0.3983957219251337
S3,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.5179526046032085,0.7333333333333333,0.6086502782931354
S4,global_prior,450,2,1,0.56,0.6859298002523727,0.56,0.358974358974359
S4,subject_prior_smoothed_in_sample_reference,450,2,subject_specific,,0.6232295537365437,0.6355555555555555,0.6045524691358024
