subject_id,subject_prior,target
id01,0.43902439024390244,Q1
id02,0.5416666666666666,Q1
id03,0.8484848484848485,Q1
id04,0.5614035087719298,Q1
id05,0.6136363636363636,Q1
id06,0.14583333333333334,Q1
id07,0.5102040816326531,Q1
id08,0.4107142857142857,Q1
id09,0.5121951219512195,Q1
id10,0.48484848484848486,Q1
id01,0.5609756097560976,Q2
id02,0.6666666666666666,Q2
id03,0.8181818181818182,Q2
id04,0.49122807017543857,Q2
id05,0.4318181818181818,Q2
id06,0.3958333333333333,Q2
id07,0.5102040816326531,Q2
id08,0.7857142857142857,Q2
id09,0.43902439024390244,Q2
id10,0.5454545454545454,Q2
id01,0.5853658536585366,Q3
id02,0.7291666666666666,Q3
id03,0.7272727272727273,Q3
id04,0.7719298245614035,Q3
id05,0.6818181818181818,Q3
id06,0.5,Q3
id07,0.5102040816326531,Q3
id08,0.44642857142857145,Q3
id09,0.43902439024390244,Q3
id10,0.6363636363636364,Q3
id01,0.6341463414634146,S1
id02,0.875,S1
id03,0.8181818181818182,S1
id04,0.7543859649122807,S1
id05,0.4772727272727273,S1
id06,0.9375,S1
id07,0.7959183673469388,S1
id08,0.44642857142857145,S1
id09,0.5609756097560976,S1
id10,0.48484848484848486,S1
id01,0.5853658536585366,S2
id02,0.9166666666666666,S2
id03,0.5151515151515151,S2
id04,0.7017543859649122,S2
id05,0.25,S2
id06,0.9166666666666666,S2
id07,0.7142857142857143,S2
id08,0.6071428571428571,S2
id09,0.7804878048780488,S2
id10,0.36363636363636365,S2
id01,0.8536585365853658,S3
id02,0.8958333333333334,S3
id03,0.48484848484848486,S3
id04,0.543859649122807,S3
id05,0.13636363636363635,S3
id06,0.9583333333333334,S3
id07,0.7959183673469388,S3
id08,0.6607142857142857,S3
id09,0.7073170731707317,S3
id10,0.48484848484848486,S3
id01,0.4878048780487805,S4
id02,0.75,S4
id03,0.15151515151515152,S4
id04,0.5087719298245614,S4
id05,0.4090909090909091,S4
id06,0.8541666666666666,S4
id07,0.46938775510204084,S4
id08,0.6071428571428571,S4
id09,0.5853658536585366,S4
id10,0.6666666666666666,S4
