fold,scope,row_count,subject_count,lifelog_date_min,lifelog_date_max
0,all_subjects,95,10,2024-06-03,2024-09-06
1,all_subjects,92,10,2024-06-13,2024-09-18
2,all_subjects,91,10,2024-06-26,2024-10-09
3,all_subjects,87,10,2024-07-10,2024-10-29
4,all_subjects,85,10,2024-07-31,2024-11-14
0,subject=id01,9,1,2024-06-26,2024-07-04
1,subject=id01,8,1,2024-07-05,2024-07-13
2,subject=id01,8,1,2024-07-14,2024-07-23
3,subject=id01,8,1,2024-07-26,2024-08-21
4,subject=id01,8,1,2024-08-23,2024-08-31
0,subject=id02,10,1,2024-07-17,2024-07-30
1,subject=id02,10,1,2024-07-31,2024-08-12
2,subject=id02,10,1,2024-08-13,2024-08-22
3,subject=id02,9,1,2024-08-23,2024-09-18
4,subject=id02,9,1,2024-09-19,2024-09-27
0,subject=id03,7,1,2024-07-17,2024-07-24
1,subject=id03,7,1,2024-07-25,2024-08-03
2,subject=id03,7,1,2024-08-05,2024-08-14
3,subject=id03,6,1,2024-08-15,2024-09-04
4,subject=id03,6,1,2024-09-05,2024-09-12
0,subject=id04,12,1,2024-07-31,2024-08-17
1,subject=id04,12,1,2024-08-18,2024-08-29
2,subject=id04,11,1,2024-08-30,2024-09-10
3,subject=id04,11,1,2024-09-16,2024-10-05
4,subject=id04,11,1,2024-10-06,2024-10-26
0,subject=id05,9,1,2024-08-28,2024-09-06
1,subject=id05,9,1,2024-09-07,2024-09-18
2,subject=id05,9,1,2024-09-19,2024-10-09
3,subject=id05,9,1,2024-10-18,2024-10-29
4,subject=id05,8,1,2024-10-30,2024-11-14
0,subject=id06,10,1,2024-06-03,2024-06-12
1,subject=id06,10,1,2024-06-13,2024-06-25
2,subject=id06,10,1,2024-06-26,2024-07-05
3,subject=id06,9,1,2024-07-14,2024-07-30
4,subject=id06,9,1,2024-07-31,2024-08-18
0,subject=id07,10,1,2024-06-09,2024-06-18
1,subject=id07,10,1,2024-06-19,2024-06-28
2,subject=id07,10,1,2024-06-29,2024-07-09
3,subject=id07,10,1,2024-07-10,2024-08-04
4,subject=id07,9,1,2024-08-05,2024-08-13
0,subject=id08,12,1,2024-06-25,2024-07-06
1,subject=id08,11,1,2024-07-07,2024-07-18
2,subject=id08,11,1,2024-07-22,2024-08-04
3,subject=id08,11,1,2024-08-11,2024-08-25
4,subject=id08,11,1,2024-08-27,2024-09-16
0,subject=id09,9,1,2024-07-01,2024-07-11
1,subject=id09,8,1,2024-07-13,2024-07-20
2,subject=id09,8,1,2024-07-21,2024-07-30
3,subject=id09,8,1,2024-08-01,2024-08-26
4,subject=id09,8,1,2024-08-27,2024-09-03
0,subject=id10,7,1,2024-07-06,2024-07-13
1,subject=id10,7,1,2024-07-14,2024-07-22
2,subject=id10,7,1,2024-07-23,2024-08-01
3,subject=id10,6,1,2024-08-02,2024-09-01
4,subject=id10,6,1,2024-09-02,2024-09-14
