subject_id,Q1,Q2,Q3,S1,S2,S3,S4
id01,0.7271115986697756,0.7228598511880702,0.6840759372365801,0.6894705800770096,0.7127718776680612,0.535599592532365,0.704159620973618
id02,0.6921612265187695,0.6586973625907387,0.5631376659177535,0.36589836276221277,0.2499074842319633,0.376209178541793,0.5730361927263926
id03,0.5186105262520282,0.5546051655660299,0.6047218117985507,0.5221396742327938,0.7021335888643743,0.7027542422740322,0.48443742612278345
id04,0.7372283067326058,0.680829862727591,0.5571084322545158,0.6003182778453452,0.63081626059121,0.71828708646486,0.6939800504536856
id05,0.676321565492975,0.7255209691401169,0.6362511036300682,0.7089185277526464,0.6278614054455193,0.5646292538914008,0.6901395422921343
id06,0.454720959308554,0.7265716598427369,0.7793590827808051,0.28329061321073495,0.2365551773488717,0.14239277801217928,0.4229559279499809
id07,0.6900576131236339,0.6950955672116963,0.7010940885115987,0.5555662415459525,0.6439714658121845,0.5227255509752589,0.7113449154285055
id08,0.7132573091427954,0.604835155668003,0.7218582686214884,0.7249009580327381,0.6919720874515009,0.6538499516349715,0.7110838193360441
id09,0.7363474844918508,0.7753265813211927,0.7389999112842746,0.7183373187286454,0.6065345053396825,0.620032808503892,0.7030098191725793
id10,0.7024675620108486,0.7327746691751436,0.7016968182258883,0.7019126619585208,0.694217815859238,0.7008972609683218,0.6744878629281923
